구역,파일,URL,제목,현재 요약(첫 문단),출처/생성 방식,새 설명·수정 메모(사용자 기입),조치(유지/교체/삭제)
common,common/bibliography.md,https://juncholkimso.github.io/sh26-w7k2/common/bibliography.html,참고도서,"> 한국사회사학회(1980 창립, 초기 명칭 한국사회사연구회)의 방법론 서적 계보를 한 세트로 소장하게 됨(2026-07-22, 사용자 제공 스캔 PDF 6권). 위치: ~/Desktop/08_LECTURE/2026_2_JNU_한국사회사/참고도서/. 모두 텍스트 레이어 없는 스캔본(10",볼트 노트 이식(--misc),,유지
common,common/concept-map.md,https://juncholkimso.github.io/sh26-w7k2/common/concept-map.html,개념 지도,"> 2주차 강의의 재료. 소장 논문 바깥까지 넓혀 한국사회사·역사사회학이 축적한 개념 24개와 대표 문헌을 정리했다(2026-07-22 웹 조사, 서지는 RISS·KCI·DBpia·출판사 페이지에서 확인된 것만 [확정] 표기). 2주 강의노트는 이 노트에서 발췌해 쓴다.",볼트 노트 이식(--misc),,유지
common,common/grid/grid_A3.md,https://juncholkimso.github.io/sh26-w7k2/common/grid/grid_A3.html,개념 격자 (A3) — 시간 × 스케일,- 카드가 두 칸에 걸치면 걸치게 붙인다 — 그게 이 수업의 테제('뒤죽박죽').,손으로 씀,,유지
common,common/guides/digital-sources.md,https://juncholkimso.github.io/sh26-w7k2/common/guides/digital-sources.html,역사·사회 연구를 위한 디지털 자료 찾기 (요약),"연구는 질문에서 시작하지만, 그 질문에 답할 자료를 찾지 못하면 아무것도 시작되지 않는다. 자료는 수십 개 DB에 흩어져 있고 검색 방식과 한계가 제각각이다. 어디서, 어떻게, 어떤 순서로 — 그리고 각 자료가 국가의 어느 손에서 나왔는가를 묻는 것이 이 안내의 목표다.",손으로 씀,,유지
common,common/guides/seed-data-rules.md,https://juncholkimso.github.io/sh26-w7k2/common/guides/seed-data-rules.html,시드 자료 이용 규칙,1. 수업에서 배포하는 것은 교수가 정제한 판본뿐이다(익명화·ID 부여·민감 정보 제거). 원본은 배포하지 않는다.,손으로 씀,,유지
common,common/guides/statistics-guide.md,https://juncholkimso.github.io/sh26-w7k2/common/guides/statistics-guide.html,통계 안내 (3주),"- 통계란: 통계법 3조 — 정책 수립·평가, 사회 현상 연구를 위해 작성하는 수량 정보. 항목과 분류체계는 역사적 산물이다. 말 자체가 국가(state)에서 왔다(박명규·서호철 2003 — 3주 발췌).",손으로 씀,,유지
common,common/readings.md,https://juncholkimso.github.io/sh26-w7k2/common/readings.html,강독 논문 목록,> 카탈로그 111편 중 수업에서 본 텍스트·부교재로 실제 사용하는 논문만 모았다. 총 18편(강독 짝 14편 + 10주 교수 논문 1 + 11주 3편째 1 + 15주 부교재 2). PDF 사본: ~/Desktop/08_LECTURE/2026_2_JNU_한국사회사/강독논문/ (파일명 앞,볼트 노트 이식(--misc),,유지
common,common/templates/archiving-plan.md,https://juncholkimso.github.io/sh26-w7k2/common/templates/archiving-plan.html,아카이빙 계획서 양식 (4주),"1. 수집 대상 — 시드 자료에서 고른 주제 한 줄(예: ""광장의 발언에 나오는 '집'·'월세'""). 왜 이 주제인가 두 문장.",손으로 씀,,유지
common,common/templates/data-readme.md,https://juncholkimso.github.io/sh26-w7k2/common/templates/data-readme.html,데이터 README 양식 (교수 업로드용),- 주차 / 쓰임: weekNN — 어느 절에서 어떻게 쓰는가,손으로 씀,,유지
common,common/templates/final-paper.md,https://juncholkimso.github.io/sh26-w7k2/common/templates/final-paper.html,기말 원고 「우리 일상의 미래」 요건 (15주),"재료 — ① 시드 자료(12·3 광장 시민발언·비상행동 자료, 교수 정제본)에서 고른 일상 주제 ② 스스로 확보한 과거 자료(4주 워크숍 절차로, 2계열 이상 권장) ③ 강독 논문 2편 이상.",손으로 씀,,유지
common,common/templates/mini-argument.md,https://juncholkimso.github.io/sh26-w7k2/common/templates/mini-argument.html,"미니 논증 양식 (8주, 중간 대체)",5~7주 강독 논문 6편(박명규 2001 / 조계원 2016 / 김상준 2007 / 김백영 2006 / 이용기 2009 / 조은 1993) 중 1편을 고른다.,손으로 씀,,유지
common,common/templates/review-note.md,https://juncholkimso.github.io/sh26-w7k2/common/templates/review-note.html,논문 리뷰 노트 양식,학번 · 이름 · 주차 · 논문(저자 연도),손으로 씀,,유지
루트,index.md,https://juncholkimso.github.io/sh26-w7k2/,한국사회사 2026-2,한 문장: 자료로 사회를 말하는 연습.,손으로 씀,,유지
루트,submit.md,https://juncholkimso.github.io/sh26-w7k2/submit.html,제출 안내,모든 과제는 하나의 폼으로 낸다 → https://forms.gle/9qDjkpWd9wg7fgbX6,손으로 씀,,유지
루트,syllabus.md,https://juncholkimso.github.io/sh26-w7k2/syllabus.html,강의계획 요약,2026-2 · 전남대학교 · 소준철(역사문화연구센터) · 주 2회 × 100분,손으로 씀,,유지
week01,week01/handout.md,https://juncholkimso.github.io/sh26-w7k2/week01/handout.html,01주,"사회사는 역사학인가 사회학인가. 원래 그 경계는 없었다. 마르크스·뒤르켐·베버에게 역사는 곧 사회학의 방법이었고, 20세기 중반 두 학문이 서로 못 듣게 되었다가(귀머거리의 대화) 1970년대 역사사회학으로 다시 만났으며, 그 재회가 1980년대 한국에 5년 만에 한꺼번에 도착했다. 이",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week01,week01/index.md,https://juncholkimso.github.io/sh26-w7k2/week01/,01주 — 오리엔테이션 — 사회사는 사회학의 방법이었다 · 두부 한 모로 여는 사회사,"사회사는 왜 사회학의 방법이었고, 왜 잃었다가 되찾았는가. 그리고 두부 한 모로 사회를 어떻게 말하는가.",손으로 씀(tools/make_week_index.py),,유지
week02,week02/excerpts.md,https://juncholkimso.github.io/sh26-w7k2/week02/excerpts.html,2주 발췌 목록 — 소장 논문 (원문은 RISS/KCI/DBpia 링크로),,손으로 씀,,유지
week02,week02/handout.md,https://juncholkimso.github.io/sh26-w7k2/week02/handout.html,02주,"한국사회사는 지난 40년간 무엇을 물어왔는가. 강독 18편을 읽기 전에 그 질문들을 한 장의 지도로 손에 쥔다 — 근대성 논쟁, 국가와 사회, 가족·젠더·인구, 공간과 지역, 기억·구술·일상, 그리고 방법. 지도는 정답이 아니라 좌표계다. 3주에 통계로 다시 보고, 강독 내내 논문을 그",볼트 배포문서 v2(tools/sync_from_vault.py로 이식),,유지
week02,week02/index.md,https://juncholkimso.github.io/sh26-w7k2/week02/,02주 — 한국사회사는 무엇을 물어왔는가 — 개념 지도,한국사회사가 40년간 물어온 개념과 논쟁을 한 장의 지도로 손에 쥔다. 지도는 정답이 아니라 좌표계다.,손으로 씀(tools/make_week_index.py),,유지
week03,week03/data/01_압축근대_도시화율/README.md,https://juncholkimso.github.io/sh26-w7k2/week03/data/01_압축근대_도시화율/README.html,"01 압축근대 — 도시인구 비율 (한국·일본·영국, 1960~2024)","- 주차 / 쓰임: week03 — 1회차 3절 '개념 다섯 자리를 통계로' 첫 자리(압축근대). 카드 ""압축근대""에 얹는 첫 숫자. 비교선(일본·영국)은 '압축'이 상대적 개념임을 보이기 위한 것.",데이터 README(교수 제공),,유지
